acc_full_T,accuracy,aurc,avg_slices,bound_satisfied,dataset,delta_hat,ece,energy_fixed_order_pj,energy_pj,energy_ratio,exit_rate,experiment,final_distinct,revisit_rate,risk_bound_thm1,risk_exited,seed,slice_utilization,ssp_overhead_frac,ssp_params,theta,variant
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,193.1264,0.06327160493827161,1.0,A1_theta,16.0,0.0,0.63,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.3,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,193.1264,0.06327160493827161,1.0,A1_theta,16.0,0.0,0.5399999999999999,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.4,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,193.1264,0.06327160493827161,1.0,A1_theta,16.0,0.0,0.45,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.5,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,193.1264,0.06327160493827161,1.0,A1_theta,16.0,0.0,0.36,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.6,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,193.1264,0.06327160493827161,1.0,A1_theta,16.0,0.0,0.315,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.65,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,193.1264,0.06327160493827161,1.0,A1_theta,16.0,0.0,0.27,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.7,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,2.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,386.2528,0.12654320987654322,1.0,A1_theta,16.0,0.0,0.225,0.8366666666666667,0,0.125,0.012195121951219513,8576,0.75,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,2.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,386.2528,0.12654320987654322,1.0,A1_theta,16.0,0.0,0.17999999999999997,0.8366666666666667,0,0.125,0.012195121951219513,8576,0.8,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,2.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,386.2528,0.12654320987654322,1.0,A1_theta,16.0,0.0,0.135,0.8366666666666667,0,0.125,0.012195121951219513,8576,0.85,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,2.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,386.2528,0.12654320987654322,1.0,A1_theta,16.0,0.0,0.08999999999999998,0.8366666666666667,0,0.125,0.012195121951219513,8576,0.9,baseline
0.16333332657814026,0.16333332657814026,0.5407825708389282,3.0,False,nmnist,0.0166173093020916,0.8300414383411407,3052.3392,579.3792,0.18981481481481483,1.0,A1_theta,16.0,0.0,0.04500000000000004,0.8366666666666667,0,0.1875,0.012195121951219513,8576,0.95,baseline
