acc_full_T,accuracy,aurc,avg_slices,bound_satisfied,dataset,delta_hat,ece,energy_fixed_order_pj,energy_pj,energy_ratio,exit_rate,experiment,final_distinct,revisit_rate,risk_bound_thm1,risk_exited,seed,slice_utilization,ssp_overhead_frac,ssp_params,theta,variant
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.01663212850689888,0.8300414383411407,3052.3392,193.1264,0.06327160493827161,1.0,A5_policy,16.0,0.0,0.45,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.5,ssp
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.01663212850689888,0.8300414383411407,3052.3392,193.1264,0.06327160493827161,1.0,A5_policy,16.0,0.0,0.27,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.7,ssp
0.16333332657814026,0.16333332657814026,0.5407825708389282,2.0,False,nmnist,0.01663212850689888,0.8300414383411407,3052.3392,386.2528,0.12654320987654322,1.0,A5_policy,16.0,0.0,0.08999999999999998,0.8366666666666667,0,0.125,0.012195121951219513,8576,0.9,ssp
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.016619062051177025,0.8300488889217377,3052.3392,193.1264,0.06327160493827161,1.0,A5_policy,16.0,0.0,0.45,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.5,random
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.016619062051177025,0.8300488889217377,3052.3392,193.1264,0.06327160493827161,1.0,A5_policy,16.0,0.0,0.27,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.7,random
0.16333332657814026,0.16333332657814026,0.5407825708389282,2.0,False,nmnist,0.016619062051177025,0.8300488889217377,3052.3392,386.2528,0.12654320987654322,1.0,A5_policy,16.0,0.0,0.08999999999999998,0.8366666666666667,0,0.125,0.012195121951219513,8576,0.9,random
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.01664746180176735,0.8300551474094391,3052.3392,193.1264,0.06327160493827161,1.0,A5_policy,16.0,0.0,0.45,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.5,fixed
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.01664746180176735,0.8300551474094391,3052.3392,193.1264,0.06327160493827161,1.0,A5_policy,16.0,0.0,0.27,0.8366666666666667,0,0.0625,0.012195121951219513,8576,0.7,fixed
0.16333332657814026,0.16333332657814026,0.5407825708389282,2.0,False,nmnist,0.01664746180176735,0.8300551474094391,3052.3392,386.2528,0.12654320987654322,1.0,A5_policy,16.0,0.0,0.08999999999999998,0.8366666666666667,0,0.125,0.012195121951219513,8576,0.9,fixed
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.01659892126917839,0.8300864398479462,3052.3392,193.1264,0.06327160493827161,1.0,A5_policy,16.0,0.0,0.45,0.8366666666666667,0,0.0625,0.012195121951219513,8640,0.5,geometry_only
0.16333332657814026,0.16333332657814026,0.5407825708389282,1.0,False,nmnist,0.01659892126917839,0.8300864398479462,3052.3392,193.1264,0.06327160493827161,1.0,A5_policy,16.0,0.0,0.27,0.8366666666666667,0,0.0625,0.012195121951219513,8640,0.7,geometry_only
0.16333332657814026,0.16333332657814026,0.5407825708389282,2.0,False,nmnist,0.01659892126917839,0.8300864398479462,3052.3392,386.2528,0.12654320987654322,1.0,A5_policy,16.0,0.0,0.08999999999999998,0.8366666666666667,0,0.125,0.012195121951219513,8640,0.9,geometry_only
