acc_greedy,acc_random,acc_ssp,k,marginal_greedy
0.9937499761581421,0.59375,0.5687500238418579,1,0.8687499761581421
1.0,0.800000011920929,0.831250011920929,2,0.00625002384185791
1.0,0.856249988079071,0.9375,3,0.0
1.0,0.9312499761581421,0.987500011920929,4,0.0
1.0,0.9312499761581421,0.9750000238418579,5,0.0
1.0,0.9437500238418579,0.96875,6,0.0
1.0,0.949999988079071,0.9750000238418579,7,0.0
1.0,0.9437500238418579,0.987500011920929,8,0.0
